民國年月日,線別,車站,電梯位置,編號,保養週期,保養時段
1150904,Wenhu Line(文湖線),BR12(中山國中站),EX(出口),3,1M(月檢),N(夜保)
1150907,Wenhu Line(文湖線),BR13(松山機場站),EX2(出口2),1,1M(月檢),P(日保)
1150922,Wenhu Line(文湖線),BR13(松山機場站),EX1(出口1),2,1M(月檢),P(日保)
1150907,Wenhu Line(文湖線),BR13(松山機場站),EX3(出口3),3,1M(月檢),A(日保)
1150922,Wenhu Line(文湖線),BR13(松山機場站),EX3(出口3),4,1Y(年檢),D(日保)
1150907,Wenhu Line(文湖線),BR13(松山機場站),P(月台),5,1M(月檢),P(日保)
1150921,Wenhu Line(文湖線),BR13(松山機場站),P(月台),6,1M(月檢),P(日保)
1150909,Wenhu Line(文湖線),BR14(大直站),EX3(出口3),1,1M(月檢),P(日保)
1150923,Wenhu Line(文湖線),BR14(大直站),EX1(出口1),2,1M(月檢),P(日保)
1150909,Wenhu Line(文湖線),BR14(大直站),P(月台),3,1M(月檢),A(日保)
1150930,Wenhu Line(文湖線),BR15(劍南路站),EX2(出口2),1,1M(月檢),P(日保)
1150910,Wenhu Line(文湖線),BR15(劍南路站),P(月台),2,1M(月檢),P(日保)
1150929,Wenhu Line(文湖線),BR15(劍南路站),P(月台),3,1M(月檢),A(日保)
1150910,Wenhu Line(文湖線),BR15(劍南路站),EX1(出口1),4,1M(月檢),P(日保)
1150930,Wenhu Line(文湖線),BR16(西湖站),P(月台),1,1M(月檢),P(日保)
1150914,Wenhu Line(文湖線),BR16(西湖站),EX1(出口1),2,1Y(年檢),D(日保)
1150930,Wenhu Line(文湖線),BR16(西湖站),EX2(出口2),3,1M(月檢),P(日保)
1150909,Wenhu Line(文湖線),BR17(港墘站),EX1(出口1),1,1M(月檢),P(日保)
1150922,Wenhu Line(文湖線),BR17(港墘站),P(月台),2,1M(月檢),P(日保)
1150909,Wenhu Line(文湖線),BR17(港墘站),P(月台),3,1M(月檢),A(日保)
1150922,Wenhu Line(文湖線),BR17(港墘站),EX2(出口2),4,1M(月檢),P(日保)
1150911,Wenhu Line(文湖線),BR18(文德站),EX2(出口2),1,1M(月檢),A(日保)
1150929,Wenhu Line(文湖線),BR18(文德站),P(月台),2,1M(月檢),P(日保)
1150911,Wenhu Line(文湖線),BR18(文德站),P(月台),3,1M(月檢),P(日保)
1150929,Wenhu Line(文湖線),BR18(文德站),EX1(出口1),4,1M(月檢),P(日保)
1150911,Wenhu Line(文湖線),BR19(內湖站),EX1(出口1),1,1M(月檢),P(日保)
1150930,Wenhu Line(文湖線),BR19(內湖站),P(月台),2,1Y(年檢),D(日保)
1150911,Wenhu Line(文湖線),BR19(內湖站),P(月台),3,1M(月檢),P(日保)
1150930,Wenhu Line(文湖線),BR19(內湖站),EX2(出口2),4,1M(月檢),P(日保)
1150904,Wenhu Line(文湖線),BR19(內湖站),K(停車場),5,1M(月檢),D(日保)
1150914,Wenhu Line(文湖線),BR20(大湖公園站),EX2(出口2),1,1M(月檢),P(日保)
1150929,Wenhu Line(文湖線),BR20(大湖公園站),P(月台),2,1M(月檢),P(日保)
1150914,Wenhu Line(文湖線),BR20(大湖公園站),P(月台),3,1M(月檢),P(日保)
1150930,Wenhu Line(文湖線),BR20(大湖公園站),EX1(出口1),4,1M(月檢),P(日保)
1150909,Wenhu Line(文湖線),BR21(葫洲站),EX2(出口2),1,1M(月檢),P(日保)
1150922,Wenhu Line(文湖線),BR21(葫洲站),P(月台),2,1M(月檢),P(日保)
1150909,Wenhu Line(文湖線),BR21(葫洲站),P(月台),3,1M(月檢),P(日保)
1150922,Wenhu Line(文湖線),BR21(葫洲站),EX1(出口1),4,1M(月檢),A(日保)
1150911,Wenhu Line(文湖線),BR22(東湖站),EX3(出口3),1,1Y(年檢),D(日保)
1150924,Wenhu Line(文湖線),BR22(東湖站),P(月台),2,1M(月檢),P(日保)
1150911,Wenhu Line(文湖線),BR22(東湖站),P(月台),3,1M(月檢),P(日保)
1150929,Wenhu Line(文湖線),BR22(東湖站),EX2(出口2),4,1M(月檢),A(日保)
1150923,Wenhu Line(文湖線),BR22(東湖站),EX1(出口1),5,1M(月檢),D(日保)
1150914,Wenhu Line(文湖線),BR23(南港軟體園區站),EX1(出口1),1,1M(月檢),A(日保)
1150930,Wenhu Line(文湖線),BR23(南港軟體園區站),P(月台),2,1M(月檢),P(日保)
1150914,Wenhu Line(文湖線),BR23(南港軟體園區站),P(月台),3,1M(月檢),P(日保)
1150930,Wenhu Line(文湖線),BR23(南港軟體園區站),EX2(出口2),4,1M(月檢),P(日保)
1150921,Wenhu Line(文湖線),BR24(南港展覽館站),P(月台),1,1M(月檢),P(日保)
1150922,Wenhu Line(文湖線),BR24(南港展覽館站),EX2(出口2),2,1M(月檢),P(日保)
1150902,Wenhu Line(文湖線),G1U(貓纜動物園站),EX(出口),1,1M(月檢),A(日保)
1150917,Wenhu Line(文湖線),G1U(貓纜動物園站),P(月台),2,1M(月檢),A(日保)
1150917,Wenhu Line(文湖線),G1U(貓纜動物園站),P(月台),3,1M(月檢),A(日保)
1150903,Wenhu Line(文湖線),G3U(貓纜動物園南站),P(月台),1,1M(月檢),P(日保)
1150903,Wenhu Line(文湖線),G3U(貓纜動物園南站),P(月台),2,1M(月檢),P(日保)
1150904,Wenhu Line(文湖線),G5U(貓纜指南宮站),T(轉乘通道),1,1M(月檢),P(日保)
1150907,Wenhu Line(文湖線),G5U(貓纜指南宮站),T(轉乘通道),2,1Y(年檢),D(日保)
1150904,Wenhu Line(文湖線),G5U(貓纜指南宮站),P(月台),3,1M(月檢),A(日保)
1150904,Wenhu Line(文湖線),G5U(貓纜指南宮站),P(月台),4,1M(月檢),P(日保)
1150930,Wenhu Line(文湖線),G6U(貓纜貓空站),EX(出口),1,1M(月檢),N(夜保)
1150930,Tamsui-Xinyi Line(淡水信義線),R02(象山站),EX1(出口1),1,1M(月檢),D(日保)
1150915,Tamsui-Xinyi Line(淡水信義線),R02(象山站),P(月台),2,1M(月檢),N(夜保)
1150930,Tamsui-Xinyi Line(淡水信義線),R02(象山站),EX2(出口2),3,1M(月檢),D(日保)
1150930,Tamsui-Xinyi Line(淡水信義線),R03(台北101/世貿站),EX5(出口5),1,1M(月檢),D(日保)
1150916,Tamsui-Xinyi Line(淡水信義線),R03(台北101/世貿站),P(月台),2,1M(月檢),N(夜保)
1150929,Tamsui-Xinyi Line(淡水信義線),R03(台北101/世貿站),EX4(出口4),3,1Y(年檢),D(日保)
1150929,Tamsui-Xinyi Line(淡水信義線),R03(台北101/世貿站),EX3(出口3),4,1M(月檢),D(日保)
1150917,Tamsui-Xinyi Line(淡水信義線),R04(信義安和站),P(月台),1,1M(月檢),N(夜保)
1150901,Tamsui-Xinyi Line(淡水信義線),R04(信義安和站),EX2A(出口2A),2,1M(月檢),N(夜保)
1150910,Tamsui-Xinyi Line(淡水信義線),R04(信義安和站),EX5(出口5),3,1Y(年檢),D(日保)
1150919,Tamsui-Xinyi Line(淡水信義線),R05(大安站),T(轉乘通道),1,1Y(年檢),N(夜保)
1150901,Tamsui-Xinyi Line(淡水信義線),R05(大安站),EX3(出口3),2,1M(月檢),N(夜保)
1150902,Tamsui-Xinyi Line(淡水信義線),R05(大安站),P(月台),3,1M(月檢),D(日保)
1150918,Tamsui-Xinyi Line(淡水信義線),R06(大安森林公園站),P(月台),1,1M(月檢),N(夜保)
1150902,Tamsui-Xinyi Line(淡水信義線),R06(大安森林公園站),EX5(出口5),2,1M(月檢),D(日保)
1150902,Tamsui-Xinyi Line(淡水信義線),R06(大安森林公園站),EX4(出口4),3,1M(月檢),D(日保)
1150902,Tamsui-Xinyi Line(淡水信義線),R06(大安森林公園站),EX6(出口6),4,1M(月檢),D(日保)
1150914,Tamsui-Xinyi Line(淡水信義線),R09(台大醫院站),EX2(出口2),1,1M(月檢),A(日保)
1150914,Tamsui-Xinyi Line(淡水信義線),R09(台大醫院站),P(月台),2,1M(月檢),P(日保)
1150914,Tamsui-Xinyi Line(淡水信義線),R09(台大醫院站),EX3(出口3),3,1M(月檢),P(日保)
1150925,Tamsui-Xinyi Line(淡水信義線),R10(台北車站),P(月台),1,1M(月檢),N(夜保)
1150925,Tamsui-Xinyi Line(淡水信義線),R10(台北車站),T(轉乘通道),2,1M(月檢),N(夜保)
1150927,Tamsui-Xinyi Line(淡水信義線),R10(台北車站),EX2(出口2),3,1M(月檢),N(夜保)
1150904,Tamsui-Xinyi Line(淡水信義線),R11(中山站),EX2(出口2),1,1M(月檢),N(夜保)
1150904,Tamsui-Xinyi Line(淡水信義線),R11(中山站),P(月台),2,1M(月檢),N(夜保)
1150905,Tamsui-Xinyi Line(淡水信義線),R12(雙連站),EX2(出口2),1,1M(月檢),N(夜保)
1150906,Tamsui-Xinyi Line(淡水信義線),R12(雙連站),P(月台),2,1M(月檢),N(夜保)
1150907,Tamsui-Xinyi Line(淡水信義線),R13(民權西路站),P(月台),1,1M(月檢),N(夜保)
1150907,Tamsui-Xinyi Line(淡水信義線),R14(圓山站),P(月台),1,1M(月檢),N(夜保)
1150908,Tamsui-Xinyi Line(淡水信義線),R15(劍潭站),P(月台),1,1M(月檢),N(夜保)
1150908,Tamsui-Xinyi Line(淡水信義線),R15(劍潭站),P(月台),2,1M(月檢),N(夜保)
1150909,Tamsui-Xinyi Line(淡水信義線),R16(士林站),P(月台),1,1M(月檢),N(夜保)
1150909,Tamsui-Xinyi Line(淡水信義線),R17(芝山站),P(月台),1,1M(月檢),N(夜保)
1150907,Tamsui-Xinyi Line(淡水信義線),R17(芝山站),P(月台),2,1Y(年檢),N(夜保)
1150910,Tamsui-Xinyi Line(淡水信義線),R18(明德站),P(月台),1,1M(月檢),N(夜保)
1150911,Tamsui-Xinyi Line(淡水信義線),R19(石牌站),P(月台),1,1M(月檢),N(夜保)
